Symbol,Company,SEC filings,GICS?Sector,Location of Headquarters
CRM,Salesforce.com,reports,Information Technology,"San Francisco, California"
SNDK,SanDisk Corporation,reports,Information Technology,"Milpitas, California"
SLE,Sara Lee Corp.,reports,Consumer Staples,"Downers Grove, Illinois"
SCG,SCANA Corp,reports,Utilities,"Cayce, South Carolina"
SLB,Schlumberger Ltd.,reports,Energy,"Houston, Texas"
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary,"Cincinnati, Ohio"
SEE,Sealed Air Corp.(New),reports,Materials,"Elmwood Park, New Jersey"
SHLD,Sears Holdings Corporation,reports,Consumer Discretionary,"Hoffman Estates, Illinois"
SRE,Sempra Energy,reports,Utilities,"San Diego, California"
SHW,Sherwin-Williams,reports,Consumer Discretionary,"Cleveland, Ohio"
SIAL,Sigma-Aldrich,reports,Materials,"St. Louis, Missouri"
SPG,Simon Property Group Inc,reports,Financials,"Indianapolis, Indiana"
SLM,SLM Corporation,reports,Financials,"Newark, Delaware"
SJM,Smucker (J.M.),reports,Consumer Staples,"Orrville, Ohio"
SNA,Snap-On Inc.,reports,Consumer Discretionary,"Kenosha, Wisconsin"
SO,Southern Co.,reports,Utilities,"Atlanta, Georgia"
LUV,Southwest Airlines,reports,Industrials,"Dallas, Texas"
SWN,Southwestern Energy,reports,Energy,"Houston, Texas[7]"
SE,Spectra Energy Corp.,reports,Energy,"Houston, Texas"
S,Sprint Nextel Corp.,reports,Telecommunications Services,"Overland Park, Kansas"
STJ,St Jude Medical,reports,Health Care,"Little Canada, Minnesota"
SWK,Stanley Black & Decker,reports,Consumer Discretionary,"New Britain, Connecticut"
SPLS,Staples Inc.,reports,Consumer Discretionary,"Framingham, Massachusetts"
SBUX,Starbucks Corp.,reports,Consumer Discretionary,"Seattle, Washington"
HOT,Starwood Hotels & Resorts,reports,Consumer Discretionary,"White Plains, New York"
STT,State Street Corp.,reports,Financials,"Boston, Massachusetts"
SRCL,Stericycle Inc,reports,Industrials,"Lake Forest, Illinois"
SYK,Stryker Corp.,reports,Health Care,"Kalamazoo, Michigan"
SUN,Sunoco Inc.,reports,Energy,"Philadelphia, Pennsylvania"
STI,SunTrust Banks,reports,Financials,"Atlanta, Georgia"
SVU,Supervalu Inc.,reports,Consumer Staples,"Eden Prairie, Minnesota"
SYMC,Symantec Corp.,reports,Information Technology,"Mountain View, California"
SYY,Sysco Corp.,reports,Consumer Staples,"Houston, Texas"
TROW,T. Rowe Price Group,reports,Financials,"Baltimore, Maryland"
TGT,Target Corp.,reports,Consumer Discretionary,"Minneapolis, Minnesota"
TEL,TE Connectivity Ltd.,reports,Information Technology,"Schaffhausen, Switzerland"
TE,TECO Energy,reports,Utilities,"Tampa, Florida"
THC,Tenet Healthcare Corp.,reports,Health Care,"Dallas, Texas"
TDC,Teradata Corp.,reports,Information Technology,"Miamisburg, Ohio"
TER,Teradyne Inc.,reports,Information Technology,"North Reading, Massachusetts"
TSO,Tesoro Petroleum Co.,reports,Energy,"San Antonio, Texas"
TXN,Texas Instruments,reports,Information Technology,"Dallas, Texas"
TXT,Textron Inc.,reports,Industrials,"Providence, Rhode Island"
HSY,The Hershey Company,reports,Consumer Staples,"Hershey, Pennsylvania"
TRV,The Travelers Companies Inc.,reports,Financials,"St. Paul, Minnesota"
TMO,Thermo Fisher Scientific,reports,Health Care,"Waltham, Massachusetts"
TIF,Tiffany & Co.,reports,Consumer Discretionary,"New York, New York"
TWX,Time Warner Inc.,reports,Consumer Discretionary,"New York, New York"
TWC,Time Warner Cable Inc.,reports,Consumer Discretionary,"New York, New York"
TIE,Titanium Metals Corp,reports,Materials,"Dallas, Texas"
TJX,TJX Companies Inc.,reports,Consumer Discretionary,"Framingham, Massachusetts"
TMK,Torchmark Corp.,reports,Financials,"McKinney, Texas"
TSS,Total System Services,reports,Information Technology,"Columbus, Georgia"
TRIP,TripAdvisor,reports,Consumer Discretionary,"Bellevue, Washington"
TSN,Tyson Foods,reports,Consumer Staples,"Springdale, Arkansas"
TYC,Tyco International,reports,Industrials,"Princeton, New Jersey"
USB,U.S. Bancorp,reports,Financials,"Minneapolis, Minnesota"
UNP,Union Pacific,reports,Industrials,"Omaha, Nebraska"
UNH,United Health Group Inc.,reports,Health Care,"Minnetonka, Minnesota"
UPS,United Parcel Service,reports,Industrials,"Sandy Springs, Georgia"
X,United States Steel Corp.,reports,Materials,"Pittsburgh, Pennsylvania"
UTX,United Technologies,reports,Industrials,"Hartford, Connecticut"
UNM,Unum Group,reports,Financials,"Chattanooga, Tennessee"
URBN,Urban Outfitters,reports,Consumer Discretionary,"Philadelphia, Pennsylvania"
VFC,V.F. Corp.,reports,Consumer Discretionary,"Greensboro, North Carolina"
VLO,Valero Energy,reports,Energy,"San Antonio, Texas"
VAR,Varian Medical Systems,reports,Health Care,"Palo Alto, California"
VTR,Ventas Inc,reports,Financials,"Chicago, Illinois[8]"
VRSN,Verisign Inc.,reports,Information Technology,"Dulles, Virginia"
VZ,Verizon Communications,reports,Telecommunications Services,"New York, New York"
VIAB,Viacom Inc.,reports,Consumer Discretionary,"New York, New York"
V,Visa Inc.,reports,Information Technology,"San Francisco, California"
VNO,Vornado Realty Trust,reports,Financials,"New York, New York"
VMC,Vulcan Materials,reports,Materials,"Birmingham, Alabama"
WMT,Wal-Mart Stores,reports,Consumer Staples,"Bentonville, Arkansas"
WAG,Walgreen Co.,reports,Consumer Staples,"Deerfield, Illinois"
DIS,Walt Disney Co.,reports,Consumer Discretionary,"Burbank, California"
WPO,Washington Post Co B,reports,Consumer Discretionary,Washington D.C
WM,Waste Management Inc.,reports,Industrials,"Houston, Texas"
WAT,Waters Corporation,reports,Health Care,"Milford, Massachusetts"
WPI,Watson Pharmaceuticals,reports,Health Care,"Corona, California"
WLP,WellPoint Inc.,reports,Health Care,"Indianapolis, Indiana"
WFC,Wells Fargo,reports,Financials,"San Francisco, California"
WDC,Western Digital,reports,Information Technology,"Irvine, California"
WU,Western Union Co,reports,Information Technology,"Englewood, Colorado"
WY,Weyerhaeuser Corp.,reports,Financials,"Federal Way, Washington"
WHR,Whirlpool Corp.,reports,Consumer Discretionary,"Benton Charter Township, Michigan"
WFM,Whole Foods Market,reports,Consumer Staples,"Austin, Texas"
WMB,Williams Cos.,reports,Energy,"Tulsa, Oklahoma"
WIN,Windstream Corporation,reports,Telecommunications Services,"Little Rock, Arkansas"
WEC,Wisconsin Energy Corporation,reports,Utilities,"Milwaukee, Wisconsin"
WYN,Wyndham Worldwide,reports,Consumer Discretionary,"Parsippany-Troy Hills, New Jersey"
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,"Las Vegas, Nevada"
XEL,Xcel Energy Inc,reports,Utilities,"Minneapolis, Minnesota"
XRX,Xerox Corp.,reports,Information Technology,"Norwalk, Connecticut"
XLNX,Xilinx Inc,reports,Information Technology,"San Jose, California"
XL,XL Capital,reports,Financials,"Hamilton, Bermuda"
YHOO,Yahoo Inc.,reports,Information Technology,"Sunnyvale, California"
YUM,Yum! Brands Inc,reports,Consumer Discretionary,"Louisville, Kentucky"
ZMH,Zimmer Holdings,reports,Health Care,"Warsaw, Indiana"
ZION,Zions Bancorp,reports,Financials,"Salt Lake City, Utah"
