Symbol,Company,SEC filings,GICS?Sector,Location of Headquarters
CF,CF Industries Holdings Inc,reports,Materials,"Deerfield, Illinois"
SCHW,Charles Schwab,reports,Financials,"San Francisco, California"
CHK,Chesapeake Energy,reports,Energy,"Oklahoma City, Oklahoma"
CVX,Chevron Corp.,reports,Energy,"San Ramon, California"
CB,Chubb Corp.,reports,Financials,"Warren, New Jersey"
CI,CIGNA Corp.,reports,Health Care,"Philadelphia, Pennsylvania"
CINF,Cincinnati Financial,reports,Financials,"Fairfield, Ohio"
CTAS,Cintas Corporation,reports,Industrials,"Mason, Ohio"
CSCO,Cisco Systems,reports,Information Technology,"San Jose, California"
C,Citigroup Inc.,reports,Financials,"New York, New York"
CTXS,Citrix Systems,reports,Information Technology,"Fort Lauderdale, Florida"
CLF,Cliffs Natural Resources,reports,Materials,"Cleveland, Ohio"
CLX,Clorox Co.,reports,Consumer Staples,"Oakland, California"
CME,CME Group Inc.,reports,Financials,"Chicago, Illinois"
CMS,CMS Energy,reports,Utilities,"Jackson, Michigan"
COH,Coach Inc.,reports,Consumer Discretionary,"New York, New York"
KO,Coca Cola Co.,reports,Consumer Staples,"Atlanta, Georgia"
CCE,Coca-Cola Enterprises,reports,Consumer Staples,"Atlanta, Georgia"
CTSH,Cognizant Technology Solutions,reports,Information Technology,"Teaneck, New Jersey"
CL,Colgate-Palmolive,reports,Consumer Staples,"New York, New York"
CMCSA,Comcast Corp.,reports,Consumer Discretionary,"Philadelphia, Pennsylvania"
CMA,Comerica Inc.,reports,Financials,"Dallas, Texas"
CSC,Computer Sciences Corp.,reports,Information Technology,"Falls Church, Virginia"
CPWR,Compuware Corp.,reports,Information Technology,"Detroit, Michigan"
CAG,ConAgra Foods Inc.,reports,Consumer Staples,"Omaha, Nebraska"
COP,ConocoPhillips,reports,Energy,"Houston, Texas"
CNX,CONSOL Energy Inc.,reports,Energy,"Cecil Township, Pennsylvania"
ED,Consolidated Edison,reports,Utilities,"New York, New York"
STZ,Constellation Brands,reports,Consumer Staples,"Victor, New York"
CEG,Constellation Energy Group,reports,Utilities,"Baltimore, Maryland"
